72.1950 	EXP 	read_number: height = 0.07
72.1950 	EXP 	read_number: height = 0.07
72.1950 	EXP 	read_number: text = '450'
72.3655 	DATA 	Keypress: space
72.3786 	EXP 	read_number: height = 0.07
72.3786 	EXP 	read_number: height = 0.07
72.3786 	EXP 	read_number: height = 0.07
72.3786 	EXP 	read_number: text = '437'
72.5661 	DATA 	Keypress: space
72.5787 	EXP 	read_number: height = 0.07
72.5787 	EXP 	read_number: height = 0.07
72.5787 	EXP 	read_number: height = 0.07
72.5787 	EXP 	read_number: text = '424'
72.7675 	DATA 	Keypress: space
72.7790 	EXP 	read_number: height = 0.07
72.7790 	EXP 	read_number: height = 0.07
72.7790 	EXP 	read_number: height = 0.07
72.7790 	EXP 	read_number: text = '411'
72.9501 	DATA 	Keypress: space
72.9625 	EXP 	read_number: height = 0.07
72.9625 	EXP 	read_number: height = 0.07
72.9625 	EXP 	read_number: height = 0.07
72.9625 	EXP 	read_number: text = '398'
73.1328 	DATA 	Keypress: space
73.1463 	EXP 	read_number: height = 0.07
73.1463 	EXP 	read_number: height = 0.07
73.1463 	EXP 	read_number: height = 0.07
73.1463 	EXP 	read_number: text = '385'
73.3170 	DATA 	Keypress: space
73.3294 	EXP 	read_number: height = 0.07
73.3294 	EXP 	read_number: height = 0.07
73.3294 	EXP 	read_number: height = 0.07
73.3294 	EXP 	read_number: text = '372'
73.4834 	DATA 	Keypress: space
73.4963 	EXP 	read_number: height = 0.07
73.4963 	EXP 	read_number: height = 0.07
73.4963 	EXP 	read_number: height = 0.07
73.4963 	EXP 	read_number: text = '359'
73.6501 	DATA 	Keypress: space
73.6631 	EXP 	read_number: height = 0.07
73.6631 	EXP 	read_number: height = 0.07
73.6631 	EXP 	read_number: height = 0.07
73.6631 	EXP 	read_number: text = '346'
73.8831 	DATA 	Keypress: space
73.8967 	EXP 	read_number: height = 0.07
73.8967 	EXP 	read_number: height = 0.07
73.8967 	EXP 	read_number: height = 0.07
73.8967 	EXP 	read_number: text = '333'
74.0510 	DATA 	Keypress: space
74.0635 	EXP 	read_number: height = 0.07
74.0635 	EXP 	read_number: height = 0.07
74.0635 	EXP 	read_number: height = 0.07
74.0635 	EXP 	read_number: text = '320'
74.2345 	DATA 	Keypress: space
74.2470 	EXP 	read_number: height = 0.07
74.2470 	EXP 	read_number: height = 0.07
74.2470 	EXP 	read_number: height = 0.07
74.2470 	EXP 	read_number: text = '307'
74.4158 	DATA 	Keypress: space
74.4472 	EXP 	read_number: height = 0.07
74.4472 	EXP 	read_number: height = 0.07
74.4472 	EXP 	read_number: height = 0.07
74.4472 	EXP 	read_number: text = '294'
74.7194 	DATA 	Keypress: space
74.7309 	EXP 	read_number: height = 0.07
74.7309 	EXP 	read_number: height = 0.07
74.7309 	EXP 	read_number: height = 0.07
74.7309 	EXP 	read_number: text = '281'
74.9014 	DATA 	Keypress: space
74.9143 	EXP 	read_number: height = 0.07
74.9143 	EXP 	read_number: height = 0.07
74.9143 	EXP 	read_number: height = 0.07
74.9143 	EXP 	read_number: text = '268'
75.0681 	DATA 	Keypress: space
75.0811 	EXP 	read_number: height = 0.07
75.0811 	EXP 	read_number: height = 0.07
75.0811 	EXP 	read_number: height = 0.07
75.0811 	EXP 	read_number: text = '255'
75.2517 	DATA 	Keypress: space
75.2647 	EXP 	read_number: height = 0.07
75.2647 	EXP 	read_number: height = 0.07
75.2647 	EXP 	read_number: height = 0.07
75.2647 	EXP 	read_number: text = '242'
75.4028 	DATA 	Keypress: space
75.4148 	EXP 	read_number: height = 0.07
75.4148 	EXP 	read_number: height = 0.07
75.4148 	EXP 	read_number: height = 0.07
75.4148 	EXP 	read_number: text = '229'
75.5874 	DATA 	Keypress: space
75.5985 	EXP 	read_number: height = 0.07
75.5985 	EXP 	read_number: height = 0.07
75.5985 	EXP 	read_number: height = 0.07
75.5985 	EXP 	read_number: text = '216'
75.7519 	DATA 	Keypress: space
75.7654 	EXP 	read_number: height = 0.07
75.7654 	EXP 	read_number: height = 0.07
75.7654 	EXP 	read_number: height = 0.07
75.7654 	EXP 	read_number: text = '203'
75.9028 	DATA 	Keypress: space
75.9156 	EXP 	read_number: height = 0.07
75.9156 	EXP 	read_number: height = 0.07
75.9156 	EXP 	read_number: height = 0.07
75.9156 	EXP 	read_number: text = '190'
76.2375 	DATA 	Keypress: space
76.2490 	EXP 	read_number: height = 0.07
76.2490 	EXP 	read_number: height = 0.07
76.2490 	EXP 	read_number: height = 0.07
76.2490 	EXP 	read_number: text = '177'
76.5044 	DATA 	Keypress: space
76.5159 	EXP 	read_number: height = 0.07
76.5159 	EXP 	read_number: height = 0.07
76.5159 	EXP 	read_number: height = 0.07
76.5159 	EXP 	read_number: text = '164'
76.6878 	DATA 	Keypress: space
76.7002 	EXP 	read_number: height = 0.07
76.7002 	EXP 	read_number: height = 0.07
76.7002 	EXP 	read_number: height = 0.07
76.7002 	EXP 	read_number: text = '151'
76.8705 	DATA 	Keypress: space
76.8828 	EXP 	read_number: height = 0.07
76.8828 	EXP 	read_number: height = 0.07
76.8828 	EXP 	read_number: height = 0.07
76.8828 	EXP 	read_number: text = '138'
77.0042 	DATA 	Keypress: space
77.0163 	EXP 	read_number: height = 0.07
77.0163 	EXP 	read_number: height = 0.07
77.0163 	EXP 	read_number: height = 0.07
77.0163 	EXP 	read_number: text = '125'
77.1700 	DATA 	Keypress: space
77.1831 	EXP 	read_number: height = 0.07
77.1831 	EXP 	read_number: height = 0.07
77.1831 	EXP 	read_number: height = 0.07
77.1831 	EXP 	read_number: text = '112'
77.3537 	DATA 	Keypress: space
77.3669 	EXP 	read_number: height = 0.07
77.3669 	EXP 	read_number: height = 0.07
77.3669 	EXP 	read_number: height = 0.07
77.3669 	EXP 	read_number: text = '99'
